index,type_l,ville,arr,n_pieces,n_chambres,surface_m2,prix,prix_m2
541,appartement,Paris,9,2.0,1.0,51.0,695000.0,13627.0
542,appartement,Paris,15,3.0,2.0,77.0,860000.0,11168.0
543,appartement,Paris,11,1.0,0.0,24.25,350000.0,14432.0
544,appartement,Paris,13,1.0,0.0,27.0,368200.0,13637.0
545,appartement,Paris,15,2.0,1.0,47.0,510000.0,10851.0
546,appartement,Paris,15,1.0,1.0,33.0,340000.0,10303.0
547,appartement,Paris,15,1.0,0.0,16.2,249900.0,15425.0
548,appartement,Paris,3,1.0,0.0,29.0,399000.0,13758.0
549,appartement,Paris,9,2.0,1.0,73.91,1040000.0,14071.0
550,appartement,Paris,18,2.0,1.0,22.12,172000.0,7775.0
551,appartement,Paris,15,1.0,0.0,10.16,115000.0,11318.0
552,appartement,Paris,20,3.0,2.0,55.0,740000.0,13454.0
553,appartement,Paris,9,2.0,0.0,37.34,499200.0,13369.0
554,appartement,Paris,17,3.0,2.0,68.0,780000.0,11470.0
555,appartement,Paris,18,3.0,1.0,40.0,430000.0,10750.0
556,appartement,Paris,2,3.0,2.0,73.1,940000.0,12859.0
557,appartement,Paris,9,5.0,2.0,128.18,1519000.0,11850.0
558,appartement,Paris,20,1.0,0.0,19.1,299000.0,15654.0
559,appartement,Paris,17,4.0,0.0,88.0,1279000.0,14534.0
560,appartement,Paris,20,2.0,0.0,42.0,465000.0,11071.0
561,appartement,Paris,4,0.0,0.0,38.0,699000.0,18394.0
562,appartement,Paris,9,5.0,3.0,119.02,1399000.0,11754.0
563,appartement,Paris,19,3.0,0.0,44.0,485538.0,11034.0
564,appartement,Paris,20,4.0,3.0,72.0,735000.0,10208.0
565,appartement,Paris,4,0.0,0.0,38.0,699000.0,18394.0
566,appartement,Paris,16,1.0,1.0,15.0,222600.0,14840.0
567,appartement,Paris,18,3.0,2.0,50.0,624000.0,12480.0
568,appartement,Paris,19,3.0,0.0,44.0,587180.0,13345.0
569,appartement,Paris,14,2.0,1.0,30.0,325500.0,10850.0
570,appartement,Paris,20,1.0,0.0,19.0,299000.0,15736.0
571,appartement,Paris,15,0.0,0.0,27.7,685000.0,24729.0
572,appartement,Paris,20,3.0,2.0,78.0,565000.0,7243.0
573,appartement,Paris,13,0.0,0.0,27.0,362000.0,13407.0
575,appartement,Paris,15,4.0,3.0,127.0,1365000.0,10748.0
576,appartement,Paris,20,3.0,2.0,62.0,609000.0,9822.0
577,appartement,Paris,15,3.0,1.0,54.3,600000.0,11049.0
578,appartement,Paris,10,3.0,2.0,63.65,610000.0,9583.0
579,appartement,Paris,19,3.0,0.0,38.0,498883.0,13128.0
580,appartement,Paris,15,4.0,3.0,109.0,1080000.0,9908.0
581,appartement,Paris,18,1.0,0.0,24.0,243000.0,10125.0
582,appartement,Paris,8,5.0,3.0,113.0,1600000.0,14159.0
583,appartement,Paris,20,2.0,1.0,53.74,399000.0,7424.0
584,appartement,Paris,19,2.0,0.0,36.0,450375.0,12510.0
585,appartement,Paris,13,2.0,1.0,44.0,399000.0,9068.0
586,appartement,Paris,18,2.0,1.0,50.01,850000.0,16996.0
587,appartement,Paris,4,1.0,0.0,28.0,375000.0,13392.0
588,appartement,Paris,19,1.0,0.0,27.0,348125.0,12893.0
589,appartement,Paris,3,5.0,4.0,228.0,2750000.0,12061.0
590,appartement,Paris,9,7.0,4.0,263.0,3960000.0,15057.0
591,appartement,Paris,17,4.0,3.0,73.47,825000.0,11229.0
592,appartement,Paris,19,4.0,0.0,67.0,971545.0,14500.0
593,appartement,Paris,5,3.0,2.0,69.0,750000.0,10869.0
594,appartement,Paris,13,1.0,0.0,25.44,208000.0,8176.0
595,appartement,Paris,16,2.0,1.0,65.49,598000.0,9131.0
596,appartement,Paris,17,2.0,1.0,31.0,399000.0,12870.0
597,appartement,Paris,19,2.0,0.0,37.0,584475.0,15796.0
598,appartement,Paris,17,2.0,1.0,27.0,245000.0,9074.0
599,appartement,Paris,20,3.0,1.0,42.0,400000.0,9523.0
600,appartement,Paris,18,3.0,2.0,40.39,405000.0,10027.0
601,appartement,Paris,18,1.0,0.0,27.53,246000.0,8935.0
602,appartement,Paris,18,3.0,2.0,38.53,355000.0,9213.0
603,appartement,Paris,12,2.0,1.0,38.0,359000.0,9447.0
604,appartement,Paris,15,2.0,1.0,50.81,435000.0,8561.0
605,appartement,Paris,17,4.0,3.0,93.0,949000.0,10204.0
606,appartement,Paris,17,6.0,4.0,219.0,2370000.0,10821.0
607,appartement,Paris,17,4.0,3.0,94.2,1205000.0,12791.0
608,appartement,Paris,19,2.0,0.0,25.0,277254.0,11090.0
609,appartement,Paris,19,3.0,0.0,77.5,829000.0,10696.0
610,appartement,Paris,17,2.0,1.0,36.2,367500.0,10151.0
611,appartement,Paris,8,3.0,2.0,83.25,1144000.0,13741.0
612,appartement,Paris,17,4.0,2.0,86.0,1185000.0,13779.0
613,appartement,Paris,19,1.0,0.0,30.0,377625.0,12587.0
614,appartement,Paris,11,3.0,0.0,60.0,799000.0,13316.0
615,appartement,Paris,3,3.0,1.0,53.74,698000.0,12988.0
616,appartement,Paris,18,3.0,2.0,43.0,545000.0,12674.0
617,appartement,Paris,16,5.0,4.0,154.0,2080000.0,13506.0
618,appartement,Paris,19,2.0,0.0,25.0,282510.0,11300.0
619,appartement,Paris,16,3.0,2.0,56.01,714000.0,12747.0
620,appartement,Paris,18,3.0,2.0,51.03,450000.0,8818.0
621,appartement,Paris,16,3.0,1.0,42.24,608000.0,14393.0
622,appartement,Paris,16,4.0,2.0,99.0,1390000.0,14040.0
623,appartement,Paris,19,2.0,0.0,25.0,280566.0,11222.0
624,appartement,Paris,11,3.0,2.0,47.0,540000.0,11489.0
625,appartement,Paris,17,6.0,3.0,127.7,1400000.0,10963.0
626,appartement,Paris,16,3.0,2.0,60.05,890000.0,14820.0
627,appartement,Paris,19,3.0,0.0,45.0,494502.0,10988.0
628,appartement,Paris,6,2.0,1.0,27.72,560000.0,20202.0
629,appartement,Paris,13,3.0,2.0,53.0,449000.0,8471.0
630,appartement,Paris,2,3.0,1.0,81.38,785000.0,9646.0
631,appartement,Paris,7,6.0,4.0,156.0,4200000.0,26923.0
632,appartement,Paris,17,2.0,1.0,50.0,519999.0,10399.0
633,appartement,Paris,19,3.0,2.0,66.0,530000.0,8030.0
634,appartement,Paris,14,3.0,2.0,62.0,720000.0,11612.0
635,appartement,Paris,3,5.0,3.0,131.0,1520000.0,11603.0
636,appartement,Paris,5,3.0,2.0,56.0,725000.0,12946.0
637,appartement,Paris,7,4.0,2.0,100.0,2200000.0,22000.0
638,appartement,Paris,20,4.0,0.0,78.68,895000.0,11375.0
639,appartement,Paris,18,4.0,2.0,84.0,800000.0,9523.0
