index,type_l,ville,arr,n_pieces,n_chambres,surface_m2,prix,prix_m2
1167,appartement,Paris,19,4.0,3.0,60.76,599000.0,9858.0
1168,appartement,Paris,18,3.0,2.0,51.0,595000.0,11666.0
1169,appartement,Paris,17,3.0,2.0,54.47,545000.0,10005.0
1171,appartement,Paris,12,3.0,2.0,51.0,520000.0,10196.0
1172,appartement,Paris,18,3.0,1.0,51.0,595000.0,11666.0
1173,appartement,Paris,7,3.0,2.0,58.68,1100000.0,18745.0
1174,appartement,Paris,15,3.0,2.0,52.31,592000.0,11317.0
1176,appartement,Paris,7,3.0,2.0,80.02,1150000.0,14371.0
1177,appartement,Paris,18,3.0,2.0,52.53,490000.0,9328.0
1178,appartement,Paris,5,2.0,0.0,36.12,395000.0,10935.0
1179,appartement,Paris,9,5.0,4.0,164.32,1850000.0,11258.0
1180,appartement,Paris,18,5.0,3.0,107.04,1100000.0,10276.0
1181,appartement,Paris,19,2.0,1.0,20.34,190000.0,9341.0
1182,appartement,Paris,14,1.0,1.0,13.0,167500.0,12884.0
1183,appartement,Paris,17,2.0,1.0,49.14,650000.0,13227.0
1184,appartement,Paris,4,1.0,0.0,15.0,290000.0,19333.0
1185,appartement,Paris,17,4.0,2.0,81.15,1190000.0,14664.0
1186,appartement,Paris,4,0.0,0.0,12.7,262500.0,20669.0
1187,appartement,Paris,4,0.0,0.0,18.9,332000.0,17566.0
1188,appartement,Paris,4,1.0,0.0,18.0,340000.0,18888.0
1189,appartement,Paris,16,4.0,2.0,96.52,1065000.0,11033.0
1190,appartement,Paris,13,2.0,1.0,42.0,410000.0,9761.0
1191,appartement,Paris,17,5.0,3.0,96.0,940000.0,9791.0
1192,appartement,Paris,14,5.0,3.0,120.0,1699000.0,14158.0
1193,appartement,Paris,15,5.0,3.0,109.13,1450000.0,13286.0
1194,appartement,Paris,20,3.0,0.0,64.0,699000.0,10921.0
1195,appartement,Paris,20,2.0,0.0,42.0,465000.0,11071.0
1196,appartement,Paris,20,4.0,0.0,79.0,895000.0,11329.0
1197,appartement,Paris,16,4.0,2.0,105.0,1395000.0,13285.0
1198,appartement,Paris,20,4.0,0.0,79.0,895000.0,11329.0
1200,appartement,Paris,7,3.0,0.0,61.0,1560000.0,25573.0
1201,appartement,Paris,15,6.0,3.0,140.0,2190000.0,15642.0
1203,appartement,Paris,17,3.0,2.0,82.16,1150000.0,13997.0
1204,appartement,Paris,19,1.0,0.0,11.78,115000.0,9762.0
1205,appartement,Paris,18,3.0,2.0,54.0,489000.0,9055.0
1206,appartement,Paris,20,3.0,2.0,57.0,579600.0,10168.0
1207,appartement,Paris,18,2.0,0.0,39.0,363000.0,9307.0
1208,appartement,Paris,11,5.0,0.0,93.0,1800000.0,19354.0
1209,appartement,Paris,11,2.0,0.0,50.0,700000.0,14000.0
1210,appartement,Paris,11,3.0,0.0,49.0,680000.0,13877.0
1211,appartement,Paris,18,5.0,0.0,150.0,3195000.0,21300.0
1214,appartement,Paris,18,5.0,0.0,120.0,1745000.0,14541.0
1215,appartement,Paris,18,2.0,0.0,62.0,895000.0,14435.0
1216,appartement,Paris,18,2.0,0.0,41.0,649000.0,15829.0
1217,appartement,Paris,17,3.0,2.0,54.04,550000.0,10177.0
1219,appartement,Paris,16,5.0,3.0,96.6,890000.0,9213.0
1220,appartement,Paris,19,2.0,1.0,78.0,562000.0,7205.0
1221,appartement,Paris,6,1.0,0.0,12.0,245000.0,20416.0
1222,appartement,Paris,18,2.0,1.0,45.86,580000.0,12647.0
1225,appartement,Paris,20,2.0,1.0,38.0,389000.0,10236.0
1226,appartement,Paris,17,1.0,0.0,7.97,100000.0,12547.0
1227,appartement,Paris,18,2.0,1.0,53.01,631000.0,11903.0
1229,appartement,Paris,7,4.0,2.0,105.4,1290000.0,12239.0
1230,appartement,Paris,15,2.0,1.0,47.18,583200.0,12361.0
1231,appartement,Paris,16,4.0,2.0,65.0,1518400.0,23360.0
1232,appartement,Paris,18,3.0,2.0,52.3,612000.0,11701.0
1234,appartement,Paris,16,6.0,4.0,350.0,14000000.0,40000.0
1235,appartement,Paris,6,1.0,1.0,16.08,285000.0,17723.0
1236,appartement,Paris,7,2.0,1.0,22.31,329000.0,14746.0
1237,appartement,Paris,15,4.0,1.0,74.66,1270000.0,17010.0
1238,appartement,Paris,15,6.0,4.0,135.05,1400000.0,10366.0
1239,appartement,Paris,15,1.0,0.0,29.3,310000.0,10580.0
1240,appartement,Paris,17,8.0,4.0,200.0,2750000.0,13750.0
1241,appartement,Paris,14,5.0,3.0,90.0,695000.0,7722.0
1242,appartement,Paris,7,5.0,3.0,118.33,2790000.0,23578.0
1243,appartement,Paris,18,2.0,1.0,53.01,631000.0,11903.0
1245,appartement,Paris,16,4.0,3.0,107.25,1198000.0,11170.0
1246,appartement,Paris,15,2.0,0.0,42.0,455000.0,10833.0
1247,appartement,Paris,16,2.0,1.0,51.6,575000.0,11143.0
1248,appartement,Paris,18,3.0,2.0,52.3,612000.0,11701.0
1250,appartement,Paris,17,2.0,1.0,38.0,449000.0,11815.0
1251,appartement,Paris,14,1.0,0.0,9.0,104640.0,11626.0
1252,appartement,Paris,9,2.0,1.0,42.0,566000.0,13476.0
1253,appartement,Paris,18,2.0,1.0,41.51,494000.0,11900.0
1255,appartement,Paris,11,2.0,1.0,40.27,428450.0,10639.0
1256,appartement,Paris,17,2.0,1.0,31.1,345000.0,11093.0
1257,appartement,Paris,6,1.0,0.0,23.0,365000.0,15869.0
1260,appartement,Paris,15,2.0,1.0,33.86,340000.0,10041.0
1261,appartement,Paris,19,2.0,1.0,41.66,297000.0,7129.0
1262,appartement,Paris,5,3.0,1.0,72.05,1095000.0,15197.0
1264,appartement,Paris,20,2.0,0.0,38.0,495000.0,13026.0
1265,appartement,Paris,7,3.0,2.0,45.14,695000.0,15396.0
1266,appartement,Paris,20,1.0,1.0,26.0,220000.0,8461.0
1267,appartement,Paris,18,1.0,0.0,12.82,139000.0,10842.0
1269,appartement,Paris,11,3.0,2.0,62.0,864000.0,13935.0
1270,appartement,Paris,11,3.0,2.0,60.0,825000.0,13750.0
1271,appartement,Paris,11,3.0,2.0,60.0,825000.0,13750.0
1272,appartement,Paris,11,3.0,2.0,63.0,840000.0,13333.0
1273,appartement,Paris,16,8.0,4.0,280.0,3500000.0,12500.0
1274,appartement,Paris,18,3.0,0.0,80.3,795000.0,9900.0
1275,appartement,Paris,11,2.0,1.0,49.0,700000.0,14285.0
1276,appartement,Paris,11,3.0,2.0,60.0,799000.0,13316.0
1277,appartement,Paris,11,1.0,0.0,24.0,350000.0,14583.0
1278,appartement,Paris,15,5.0,3.0,95.0,1195000.0,12578.0
1279,appartement,Paris,17,3.0,2.0,67.09,750000.0,11179.0
1280,appartement,Paris,15,2.0,1.0,46.0,472500.0,10271.0
1281,appartement,Paris,20,4.0,2.0,85.0,690000.0,8117.0
1282,appartement,Paris,15,3.0,2.0,53.0,555000.0,10471.0
1283,appartement,Paris,17,3.0,1.0,59.14,875000.0,14795.0
1284,appartement,Paris,17,2.0,1.0,29.22,290000.0,9924.0
1285,appartement,Paris,13,2.0,1.0,50.0,499000.0,9980.0
1286,appartement,Paris,7,4.0,3.0,102.0,3150000.0,30882.0
1287,appartement,Paris,7,4.0,3.0,92.0,2950000.0,32065.0
1288,appartement,Paris,5,2.0,1.0,52.55,930000.0,17697.0
1289,appartement,Paris,17,2.0,1.0,82.0,730000.0,8902.0
1290,appartement,Paris,17,1.0,0.0,16.29,195000.0,11970.0
1291,appartement,Paris,4,2.0,1.0,30.0,485000.0,16166.0
1292,appartement,Paris,19,2.0,1.0,42.0,435000.0,10357.0
1293,appartement,Paris,16,3.0,1.0,70.88,1180000.0,16647.0
1294,appartement,Paris,17,2.0,1.0,32.72,400000.0,12224.0
1295,appartement,Paris,11,2.0,1.0,39.565,428450.0,10829.0
1296,appartement,Paris,6,1.0,0.0,10.52,170000.0,16159.0
1297,appartement,Paris,16,6.0,4.0,115.21,1360000.0,11804.0
1298,appartement,Paris,19,3.0,2.0,70.03,430000.0,6140.0
1299,appartement,Paris,17,3.0,2.0,50.0,535000.0,10700.0
1300,appartement,Paris,19,2.0,1.0,42.06,340000.0,8083.0
1301,appartement,Paris,19,2.0,1.0,29.52,277000.0,9383.0
1302,appartement,Paris,19,3.0,2.0,56.52,525720.0,9301.0
1303,appartement,Paris,11,1.0,0.0,15.0,195000.0,13000.0
1304,appartement,Paris,16,6.0,4.0,155.0,2840000.0,18322.0
1305,appartement,Paris,17,2.0,1.0,40.0,465000.0,11625.0
1306,appartement,Paris,15,2.0,1.0,46.0,475000.0,10326.0
1307,appartement,Paris,16,6.0,4.0,152.0,1595000.0,10493.0
1308,appartement,Paris,15,2.0,1.0,42.0,499000.0,11880.0
1309,appartement,Paris,11,5.0,0.0,92.13,1285000.0,13947.0
1310,appartement,Paris,10,2.0,1.0,56.07,550000.0,9809.0
1311,appartement,Paris,6,3.0,2.0,44.92,799000.0,17787.0
1312,appartement,Paris,16,2.0,1.0,37.0,416000.0,11243.0
1313,appartement,Paris,12,4.0,3.0,112.22,1295000.0,11539.0
1314,appartement,Paris,2,3.0,2.0,67.46,995000.0,14749.0
1315,appartement,Paris,17,1.0,1.0,23.0,249000.0,10826.0
1316,appartement,Paris,15,3.0,2.0,55.05,590000.0,10717.0
1317,appartement,Paris,19,2.0,1.0,32.0,359000.0,11218.0
1318,appartement,Paris,18,1.0,1.0,15.74,145000.0,9212.0
1319,appartement,Paris,16,5.0,3.0,141.06,2180000.0,15454.0
1320,appartement,Paris,19,2.0,1.0,36.0,296000.0,8222.0
1321,appartement,Paris,18,3.0,2.0,63.0,550000.0,8730.0
1322,appartement,Paris,5,2.0,1.0,35.0,412000.0,11771.0
1323,appartement,Paris,11,2.0,1.0,40.0,430000.0,10750.0
1324,appartement,Paris,7,3.0,2.0,60.62,1125000.0,18558.0
1325,appartement,Paris,12,4.0,2.0,66.0,695000.0,10530.0
1326,appartement,Paris,7,1.0,0.0,41.0,499000.0,12170.0
1327,appartement,Paris,11,7.0,5.0,131.79,1340000.0,10167.0
1328,appartement,Paris,6,3.0,2.0,52.0,770000.0,14807.0
1329,appartement,Paris,19,3.0,1.0,69.15,760000.0,10990.0
1330,appartement,Paris,17,2.0,1.0,34.5,479000.0,13884.0
1331,appartement,Paris,15,4.0,3.0,106.0,1086000.0,10245.0
1332,appartement,Paris,20,2.0,0.0,32.0,300000.0,9375.0
1333,appartement,Paris,20,2.0,1.0,42.0,384000.0,9142.0
1334,appartement,Paris,14,2.0,1.0,35.0,279000.0,7971.0
1335,appartement,Paris,7,2.0,1.0,41.47,715000.0,17241.0
1336,appartement,Paris,17,2.0,1.0,40.0,450000.0,11250.0
1337,appartement,Paris,17,2.0,1.0,50.0,559000.0,11180.0
1338,appartement,Paris,9,5.0,3.0,111.0,1300000.0,11711.0
1339,appartement,Paris,14,2.0,1.0,56.0,479000.0,8553.0
1340,appartement,Paris,17,4.0,3.0,97.72,800000.0,8186.0
1341,appartement,Paris,8,6.0,4.0,242.0,2980000.0,12314.0
1342,appartement,Paris,18,2.0,1.0,30.0,239000.0,7966.0
1343,appartement,Paris,15,3.0,2.0,97.0,940000.0,9690.0
1344,appartement,Paris,18,3.0,2.0,67.0,699000.0,10432.0
1345,appartement,Paris,17,3.0,1.0,52.0,640000.0,12307.0
1346,appartement,Paris,16,4.0,2.0,78.0,1050000.0,13461.0
1348,appartement,Paris,2,2.0,3.0,39.0,694900.0,17817.0
1349,appartement,Paris,20,4.0,2.0,83.0,870000.0,10481.0
1350,appartement,Paris,17,3.0,2.0,56.49,735000.0,13011.0
1351,appartement,Paris,6,5.0,3.0,114.84,1950000.0,16980.0
1352,appartement,Paris,14,3.0,2.0,45.0,520000.0,11555.0
1353,appartement,Paris,16,3.0,2.0,64.17,798000.0,12435.0
1354,appartement,Paris,12,2.0,1.0,45.0,418000.0,9288.0
1355,appartement,Paris,17,4.0,3.0,88.16,1055000.0,11966.0
1356,appartement,Paris,8,2.0,1.0,42.0,598000.0,14238.0
1357,appartement,Paris,5,1.0,0.0,26.72,366795.0,13727.0
1358,appartement,Paris,16,8.0,5.0,213.0,2600000.0,12206.0
1359,appartement,Paris,13,6.0,5.0,190.0,1780000.0,9368.0
1360,appartement,Paris,16,5.0,3.0,124.0,1250000.0,10080.0
1361,appartement,Paris,17,2.0,1.0,44.0,460000.0,10454.0
1362,appartement,Paris,6,2.0,1.0,33.0,519000.0,15727.0
1363,appartement,Paris,16,3.0,2.0,73.0,759000.0,10397.0
1364,appartement,Paris,15,1.0,0.0,20.0,215000.0,10750.0
1365,appartement,Paris,14,3.0,2.0,59.0,690000.0,11694.0
1366,appartement,Paris,17,4.0,2.0,76.16,650000.0,8534.0
1367,appartement,Paris,16,5.0,3.0,137.0,1680000.0,12262.0
1368,appartement,Paris,12,1.0,0.0,26.0,255000.0,9807.0
1369,appartement,Paris,15,2.0,1.0,43.0,410000.0,9534.0
1370,appartement,Paris,15,4.0,2.0,78.0,970000.0,12435.0
1371,appartement,Paris,17,2.0,1.0,44.31,560000.0,12638.0
1372,appartement,Paris,16,5.0,3.0,204.0,2950000.0,14460.0
1373,appartement,Paris,15,3.0,2.0,64.36,575000.0,8934.0
1374,appartement,Paris,14,2.0,1.0,50.0,409000.0,8180.0
1375,appartement,Paris,13,4.0,3.0,78.0,844000.0,10820.0
1376,appartement,Paris,17,3.0,2.0,42.44,575000.0,13548.0
1377,appartement,Paris,13,4.0,3.0,74.26,750000.0,10099.0
1378,appartement,Paris,8,6.0,3.0,136.0,3400000.0,25000.0
1379,appartement,Paris,16,11.0,6.0,425.0,7350000.0,17294.0
1380,appartement,Paris,17,7.0,4.0,230.0,2760000.0,12000.0
1381,appartement,Paris,7,5.0,3.0,193.44,4264000.0,22043.0
1383,appartement,Paris,16,3.0,2.0,53.0,556000.0,10490.0
1384,appartement,Paris,16,3.0,2.0,80.0,840000.0,10500.0
1385,appartement,Paris,14,3.0,2.0,71.0,450000.0,6338.0
1386,appartement,Paris,6,7.0,3.0,142.05,5200000.0,36606.0
1387,appartement,Paris,13,2.0,0.0,46.0,384750.0,8364.0
1388,appartement,Paris,11,4.0,3.0,109.0,1078000.0,9889.0
1389,appartement,Paris,12,3.0,1.0,57.0,570000.0,10000.0
1390,appartement,Paris,9,2.0,1.0,62.0,740000.0,11935.0
1391,appartement,Paris,15,3.0,2.0,50.17,498000.0,9926.0
1392,appartement,Paris,10,1.0,0.0,29.0,311000.0,10724.0
1393,appartement,Paris,12,3.0,2.0,52.0,567000.0,10903.0
1394,appartement,Paris,19,2.0,1.0,44.0,399000.0,9068.0
1395,appartement,Paris,17,2.0,1.0,33.84,440000.0,13002.0
1396,appartement,Paris,15,3.0,2.0,83.17,1185000.0,14247.0
1397,appartement,Paris,7,5.0,3.0,127.0,3490000.0,27480.0
1398,appartement,Paris,19,2.0,1.0,43.1,439000.0,10185.0
1399,appartement,Paris,8,2.0,1.0,32.82,379000.0,11547.0
1400,appartement,Paris,10,5.0,4.0,118.0,1285000.0,10889.0
1401,appartement,Paris,12,1.0,0.0,40.0,398000.0,9950.0
1402,appartement,Paris,7,5.0,3.0,119.0,3290000.0,27647.0
1403,appartement,Paris,18,3.0,2.0,45.87,640000.0,13952.0
1404,appartement,Paris,11,3.0,1.0,68.0,750000.0,11029.0
1405,appartement,Paris,20,4.0,3.0,79.0,895000.0,11329.0
1406,appartement,Paris,17,1.0,0.0,17.0,199000.0,11705.0
1407,appartement,Paris,6,5.0,4.0,134.14,2650000.0,19755.0
1408,appartement,Paris,5,3.0,2.0,78.0,1045000.0,13397.0
1409,appartement,Paris,11,3.0,2.0,39.0,398000.0,10205.0
1410,appartement,Paris,11,3.0,2.0,62.25,640000.0,10281.0
1411,appartement,Paris,20,2.0,0.0,32.0,265000.0,8281.0
1412,appartement,Paris,6,5.0,3.0,124.44,2550000.0,20491.0
1413,appartement,Paris,5,3.0,2.0,50.0,730000.0,14600.0
1414,appartement,Paris,20,3.0,2.0,75.0,680000.0,9066.0
1415,appartement,Paris,11,2.0,1.0,39.0,399000.0,10230.0
1416,appartement,Paris,18,2.0,1.0,32.19,345000.0,10717.0
1417,appartement,Paris,6,6.0,3.0,159.09,2550000.0,16028.0
1418,appartement,Paris,2,3.0,2.0,55.0,594000.0,10800.0
1419,appartement,Paris,10,1.0,0.0,29.35,330000.0,11243.0
1420,appartement,Paris,19,4.0,3.0,77.0,520000.0,6753.0
1421,appartement,Paris,10,3.0,2.0,70.0,775000.0,11071.0
1422,appartement,Paris,20,2.0,1.0,32.32,300000.0,9282.0
1423,appartement,Paris,19,3.0,2.0,92.0,699000.0,7597.0
1424,appartement,Paris,19,4.0,3.0,81.79,750000.0,9169.0
1425,appartement,Paris,18,1.0,1.0,32.5,245000.0,7538.0
1426,appartement,Paris,9,3.0,2.0,70.0,775000.0,11071.0
1427,appartement,Paris,20,1.0,1.0,29.2,249000.0,8527.0
1428,appartement,Paris,6,4.0,3.0,89.46,2396000.0,26782.0
1429,appartement,Paris,7,2.0,1.0,78.83,1300000.0,16491.0
1430,appartement,Paris,19,3.0,2.0,63.4,649000.0,10236.0
1431,appartement,Paris,20,3.0,2.0,56.02,525000.0,9371.0
1432,appartement,Paris,18,3.0,1.0,59.91,480000.0,8012.0
1433,appartement,Paris,6,3.0,2.0,70.4,1490000.0,21164.0
1434,appartement,Paris,16,3.0,2.0,58.5,615000.0,10512.0
1435,appartement,Paris,19,3.0,2.0,70.0,539000.0,7700.0
1436,appartement,Paris,16,3.0,2.0,67.0,790000.0,11791.0
1437,appartement,Paris,11,3.0,2.0,50.0,497000.0,9940.0
1438,appartement,Paris,7,5.0,3.0,113.0,1730000.0,15309.0
1439,appartement,Paris,18,3.0,2.0,66.0,750000.0,11363.0
1440,appartement,Paris,18,3.0,2.0,69.17,808500.0,11688.0
1441,appartement,Paris,12,2.0,1.0,45.0,540750.0,12016.0
1442,appartement,Paris,12,1.0,0.0,25.0,290000.0,11600.0
1443,appartement,Paris,19,4.0,2.0,91.0,1020000.0,11208.0
1444,appartement,Paris,18,5.0,3.0,92.0,950000.0,10326.0
1445,appartement,Paris,18,2.0,1.0,23.0,229000.0,9956.0
1446,appartement,Paris,12,2.0,1.0,43.55,480000.0,11021.0
1447,appartement,Paris,19,4.0,3.0,89.43,649000.0,7257.0
1448,appartement,Paris,18,5.0,3.0,138.41,1690000.0,12210.0
1449,appartement,Paris,18,3.0,2.0,62.19,683000.0,10982.0
1450,appartement,Paris,12,3.0,1.0,59.18,585000.0,9885.0
1451,appartement,Paris,20,1.0,0.0,16.19,175000.0,10809.0
1452,appartement,Paris,12,3.0,1.0,61.58,560000.0,9093.0
1453,appartement,Paris,12,3.0,2.0,52.65,615000.0,11680.0
1454,appartement,Paris,18,2.0,1.0,40.0,475000.0,11875.0
1455,appartement,Paris,11,1.0,0.0,27.0,265000.0,9814.0
1456,appartement,Paris,11,2.0,1.0,25.35,279000.0,11005.0
1457,appartement,Paris,11,2.0,1.0,46.0,527000.0,11456.0
1458,appartement,Paris,11,1.0,0.0,22.04,236000.0,10707.0
1459,appartement,Paris,18,4.0,3.0,55.41,720000.0,12994.0
1460,appartement,Paris,20,4.0,3.0,94.0,850000.0,9042.0
1461,appartement,Paris,12,3.0,2.0,62.0,495000.0,7983.0
1462,appartement,Paris,9,1.0,0.0,9.23,99000.0,10725.0
1463,appartement,Paris,16,4.0,2.0,90.75,892000.0,9829.0
1464,appartement,Paris,18,2.0,1.0,35.07,465000.0,13259.0
1465,appartement,Paris,20,4.0,2.0,71.0,690000.0,9718.0
1466,appartement,Paris,9,1.0,0.0,21.0,245000.0,11666.0
1467,appartement,Paris,15,5.0,3.0,81.0,930000.0,11481.0
1468,appartement,Paris,11,3.0,2.0,68.0,690000.0,10147.0
1469,appartement,Paris,9,5.0,3.0,133.0,1510000.0,11353.0
1470,appartement,Paris,19,5.0,4.0,82.1,520000.0,6333.0
1471,appartement,Paris,19,3.0,2.0,74.0,600000.0,8108.0
1472,appartement,Paris,19,4.0,2.0,65.05,425000.0,6533.0
1473,appartement,Paris,15,3.0,1.0,91.23,1015000.0,11125.0
1474,appartement,Paris,2,3.0,1.0,81.38,785000.0,9646.0
1475,appartement,Paris,7,6.0,4.0,156.0,4200000.0,26923.0
1476,appartement,Paris,19,4.0,2.0,67.7,424000.0,6262.0
1477,appartement,Paris,20,3.0,1.0,53.0,416000.0,7849.0
1479,appartement,Paris,15,2.0,1.0,51.0,430000.0,8431.0
1480,appartement,Paris,16,2.0,1.0,47.28,477800.0,10105.0
1481,appartement,Paris,20,2.0,1.0,36.67,290000.0,7908.0
1482,appartement,Paris,11,2.0,1.0,31.1,325000.0,10450.0
1483,appartement,Paris,20,2.0,1.0,39.0,330000.0,8461.0
1484,appartement,Paris,20,3.0,2.0,45.0,386900.0,8597.0
1485,appartement,Paris,19,3.0,2.0,55.0,470000.0,8545.0
1486,appartement,Paris,20,3.0,2.0,75.0,570000.0,7600.0
1487,appartement,Paris,20,3.0,1.0,51.63,324900.0,6292.0
1488,appartement,Paris,11,2.0,1.0,50.0,559000.0,11180.0
1489,appartement,Paris,6,2.0,1.0,66.45,1295000.0,19488.0
1490,appartement,Paris,17,5.0,3.0,133.15,1872000.0,14059.0
1491,appartement,Paris,20,2.0,1.0,33.15,325500.0,9819.0
1492,appartement,Paris,11,3.0,2.0,57.0,695000.0,12192.0
1493,appartement,Paris,11,3.0,2.0,76.0,695000.0,9144.0
1494,appartement,Paris,6,2.0,1.0,50.0,849000.0,16980.0
1495,appartement,Paris,17,3.0,2.0,62.0,799000.0,12887.0
1496,appartement,Paris,19,3.0,1.0,69.15,760000.0,10990.0
1497,appartement,Paris,3,1.0,0.0,18.6,239000.0,12849.0
1498,appartement,Paris,7,2.0,1.0,41.0,559000.0,13634.0
1499,appartement,Paris,7,2.0,1.0,24.0,350000.0,14583.0
1500,appartement,Paris,17,4.0,2.0,94.21,1040000.0,11039.0
1501,appartement,Paris,11,2.0,1.0,53.0,555000.0,10471.0
1502,appartement,Paris,11,3.0,2.0,65.0,634000.0,9753.0
1503,appartement,Paris,20,4.0,2.0,62.0,624000.0,10064.0
1504,appartement,Paris,7,6.0,4.0,192.0,4200000.0,21875.0
1505,appartement,Paris,10,2.0,1.0,54.69,498000.0,9105.0
1506,appartement,Paris,16,7.0,4.0,179.0,3099000.0,17312.0
1507,appartement,Paris,20,2.0,1.0,60.0,599000.0,9983.0
1508,appartement,Paris,17,2.0,1.0,30.1,350000.0,11627.0
1509,appartement,Paris,7,4.0,3.0,82.7,1145000.0,13845.0
1510,appartement,Paris,7,1.0,0.0,22.0,416000.0,18909.0
1511,appartement,Paris,11,2.0,1.0,28.0,335000.0,11964.0
1512,appartement,Paris,20,2.0,1.0,35.0,324000.0,9257.0
1513,appartement,Paris,12,1.0,0.0,21.0,224000.0,10666.0
1514,appartement,Paris,20,2.0,1.0,37.0,360000.0,9729.0
1515,appartement,Paris,12,2.0,1.0,46.0,415000.0,9021.0
1516,appartement,Paris,20,2.0,1.0,30.28,265000.0,8751.0
1517,appartement,Paris,11,4.0,3.0,88.0,884000.0,10045.0
1518,appartement,Paris,20,2.0,1.0,43.06,445000.0,10334.0
1519,appartement,Paris,20,2.0,1.0,43.0,456000.0,10604.0
1520,appartement,Paris,15,1.0,0.0,42.0,455000.0,10833.0
1521,appartement,Paris,20,2.0,1.0,50.0,429000.0,8580.0
1522,appartement,Paris,11,4.0,1.0,76.0,750000.0,9868.0
1523,appartement,Paris,11,4.0,2.0,89.0,839000.0,9426.0
1524,appartement,Paris,20,3.0,2.0,54.1,504000.0,9316.0
1525,appartement,Paris,11,4.0,3.0,92.0,1800000.0,19565.0
1526,appartement,Paris,11,1.0,0.0,16.0,158000.0,9875.0
1527,appartement,Paris,5,2.0,1.0,34.0,449000.0,13205.0
1528,appartement,Paris,19,1.0,0.0,20.0,199280.0,9964.0
1529,appartement,Paris,10,3.0,2.0,76.0,835000.0,10986.0
1530,appartement,Paris,16,6.0,4.0,100.49,1010000.0,10050.0
1531,appartement,Paris,11,1.0,0.0,12.2,113000.0,9262.0
1532,appartement,Paris,20,3.0,2.0,73.0,599000.0,8205.0
1533,appartement,Paris,20,2.0,1.0,31.0,305000.0,9838.0
1534,appartement,Paris,20,3.0,2.0,87.0,790000.0,9080.0
1535,appartement,Paris,3,4.0,2.0,83.4,1830000.0,21942.0
1536,appartement,Paris,11,4.0,0.0,80.0,940000.0,11750.0
1537,appartement,Paris,12,2.0,1.0,52.0,662500.0,12740.0
1538,appartement,Paris,11,2.0,1.0,45.1,388750.0,8619.0
1539,appartement,Paris,11,1.0,0.0,22.0,275600.0,12527.0
1540,appartement,Paris,16,5.0,4.0,119.77,1390000.0,11605.0
1541,appartement,Paris,12,1.0,0.0,6.32,71000.0,11234.0
1542,appartement,Paris,11,4.0,2.0,75.0,882000.0,11760.0
1543,appartement,Paris,12,2.0,1.0,37.0,339000.0,9162.0
1544,appartement,Paris,12,5.0,4.0,91.29,890000.0,9749.0
1545,appartement,Paris,11,2.0,1.0,48.82,512000.0,10487.0
1546,appartement,Paris,12,3.0,2.0,66.0,686400.0,10400.0
1547,appartement,Paris,11,3.0,2.0,55.23,551200.0,9980.0
1548,appartement,Paris,11,2.0,1.0,49.15,450000.0,9155.0
1549,appartement,Paris,10,1.0,0.0,11.0,123000.0,11181.0
1550,appartement,Paris,11,3.0,2.0,52.6,550000.0,10456.0
1551,appartement,Paris,16,4.0,2.0,90.0,1020000.0,11333.0
1552,appartement,Paris,11,1.0,0.0,24.0,350000.0,14583.0
1553,appartement,Paris,17,2.0,1.0,53.17,549000.0,10325.0
1554,appartement,Paris,9,2.0,1.0,34.93,420000.0,12024.0
1555,appartement,Paris,19,4.0,3.0,86.92,670000.0,7708.0
1556,appartement,Paris,8,4.0,2.0,125.0,2600000.0,20800.0
1557,appartement,Paris,19,4.0,3.0,75.0,537000.0,7160.0
1558,appartement,Paris,11,3.0,2.0,86.0,1055000.0,12267.0
1559,appartement,Paris,13,2.0,1.0,50.0,499000.0,9980.0
1561,appartement,Paris,7,4.0,2.0,123.0,2600000.0,21138.0
1562,appartement,Paris,11,4.0,2.0,71.18,894000.0,12559.0
1563,appartement,Paris,19,1.0,1.0,35.49,265000.0,7466.0
1564,appartement,Paris,19,1.0,1.0,23.01,235000.0,10212.0
1565,appartement,Paris,3,2.0,1.0,80.05,1050000.0,13116.0
1566,appartement,Paris,16,6.0,5.0,343.0,5400000.0,15743.0
1567,appartement,Paris,8,6.0,3.0,205.0,3280000.0,16000.0
1568,appartement,Paris,10,2.0,1.0,43.02,425000.0,9879.0
1569,appartement,Paris,19,2.0,1.0,44.22,449000.0,10153.0
1570,appartement,Paris,17,3.0,2.0,51.68,642000.0,12422.0
1572,appartement,Paris,19,2.0,1.0,28.27,230000.0,8135.0
1573,appartement,Paris,19,4.0,2.0,62.96,595000.0,9450.0
1574,appartement,Paris,10,3.0,2.0,68.0,645000.0,9485.0
1575,appartement,Paris,19,3.0,2.0,64.93,499000.0,7685.0
1576,appartement,Paris,18,2.0,1.0,50.25,299000.0,5950.0
1577,appartement,Paris,19,2.0,1.0,42.19,450000.0,10666.0
1578,appartement,Paris,10,2.0,1.0,30.0,265000.0,8833.0
1579,appartement,Paris,10,2.0,1.0,28.0,280000.0,10000.0
1580,appartement,Paris,10,2.0,1.0,25.75,239000.0,9281.0
1581,appartement,Paris,8,6.0,3.0,201.53,2590000.0,12851.0
1582,appartement,Paris,12,5.0,3.0,95.7,1057000.0,11044.0
1583,appartement,Paris,10,2.0,1.0,50.0,528000.0,10560.0
1584,appartement,Paris,10,1.0,0.0,18.0,199000.0,11055.0
1585,appartement,Paris,10,4.0,3.0,77.0,900000.0,11688.0
